subject,body,label
some after thoughts to our meeting,"hi daren ,
i enjoyed our lunch together yesterday and believe we made a good beginning .
you have very high standards for your own performance and are highly
committed to the best outcome in all situations . you are likely to have high
expectations for results from our coaching meetings this a good formula for
success and i will do my best to honor your strengths with a focus on moving
the action forward . with this in mind , i had some thoughts and additional
questions for reflection following the meeting that i would like to share .
you are in a transition from being a high team performer to becoming the
leader of a high performing team . one of your frustrations as leader is
that members of your team seem to rely too much on you to solve problems
that arise in the day to day operations of the team . at first you responded
to their requests for help by solving it for them , then you shifted to using
questioning techniques to have them solve the problem with you . you have
also offered some training to address the learnings needed to be more
independent problem solvers . you are frustrated when some members of the
team continue to come to you with questions they should be able to solve and
when they fail to implement changes that you have trained them to use . you
are seeking ways for the the team to have the same problem solving ability
that they come to you for . you have recruited people with this ability and
you seek to expand it in the team .
this issue was the focus of our first session and needs to be the focus our
next meeting . the question is : how to engage the team in solving this
problem . how do i get the members of this team to own this responsibility
and begin creating their own solutions ? what resources are needed by each
person to contribute more to this problem ? how do i involve the team members
more in the solving of this problem ? what new behaviors do i need to employ
to increase the involvement of the team ? what do i need to change in myself
or my relationship to the people in order to engage them more actively in
the problem ?
there is one dimension that i am clear about . i know that you have used
performance appraisals to give feedback . have you put this issue before the
team as a whole for the team to solve or have you tried to change individual
team members ?
i look forward to our meeting on the 17 th . keep growing !
mike
teamleadership center
mobile : 713 - 598 - 6732
office : 713 - 871 - 8326
fax : 713 - 871 - 1707
home : 409 - 321 - 0680
mam @ teamlead . com",0
energy operations promotions,"i am pleased to announce the following promotions effective february 1 within
ena energy operations . these individuals have been promoted in recognition
of their outstanding performance and their contributions to the continuing
success of enron north america . please join me in congratulating these
employees on their promotions .
promotions to senior director
kristin albrecht serves as business controller for ena  , s power business .
along with leslie reeves , kristin ensures that power transactions are handled
accurately and smoothly from beginning to end . kristin  , s primary focus is on
risk controls and daily reporting of positions and p & l for east power
trading , west power trading and genco operations .
brenda herod serves as business controller for ena  , s assets business , working
with the gas assets group and the texas trading desk . her responsibilities
include global contracts and facilities , risk management , confirmations , gas
scheduling , volume management , settlements and regulatory compliance for
houston pipeline , lrc and enron midstream services .
leslie reeves is a business controller for ena  , s power business , working
closely with kristin albrecht in managing mid and back office support for the
east , west and genco power trading groups . her primary responsibilities are
documentation and settlements , with a focus on contract administration , cash
forecasting and cash management .
mary solmonson leads ena  , s global database management group , collecting and
validating information on our customers , contracts , pipelines and facilities ,
as well as published prices . these activities support overall energy
operations responsibilities from risk to logistics to settlement . in
addition , mary has been instrumental in the promotion and implementation of
the global systems across enron to provide control , consistency , and common
data throughout the organization .
promotions to director
scott pleus serves as business controller for enron  , s emerging products .
these businesses include bandwidth , pulp and paper , and weather . his primary
responsibilities include day - to - day functions of risk management ,
confirmations , pulp and paper scheduling , and settlements as well as long
term system development .
sheri thomas led ena  , s natural gas off - system settlements function throughout
1999 . her responsibilities included cash forecasting , collections , and
accountability for receivables and payables for ena  , s gas business in the
east , west and central regions of the us . sheri accepted a new assignment in
january 2000 and is now managing the enron online operations .
promotions to manager
bennett kaufman manages the risk management administration function for the
equity trading and debt trading groups . he has also had experience in
supporting the options book for natural gas derivatives trading . prior to
joining enron in early 1998 , bennett worked in trading operations for
investment banking firms in new york .
richard mckeel is the systems integration analyst within global database
management , overseeing the change management process and new software
development needed to interface the global applications with strategic
systems  ) sitara , unify , enpower , solarc , sap , and enrononline .
other promotions
specialist to senior specialist : analyst to specialist :
sylvia campos  ) deal compliance contract records tara eslick  ) financial
trading risk management
kam keiser  ) gas risk management - central desk victoria versen  ) gas
logistics - east desk
phillip love  ) risk controls operational analysis
jeff coats  ) gas risk management - central desk
monica lande  ) west power risk management ( portland ) senior clerk to staff :
trang le  ) strategic operations  ) project unify
john postlewaite  ) east power risk management anthony campos  ) deal
compliance contract records
diane seib  ) documentation ( calgary ) kori loibl  ) gas risk management -
financial books
donnie vinson  ) west power risk management ( portland )
imelda frayre  ) strategic operations - project sitara
clerk to senior clerk :
staff to specialist :
leslie smith  ) information & records management
amy degeyter  ) power documentation melinda whalen  ) documentation ( calgary )
michael nguyen  ) emerging products risk management
sherlyn schumack  ) logistics volume management
karie hastings  ) strategic operations - project sitara
in addition , peggy hedstrom and brent price were promoted to vice president ,
as announced in the memo issued by enron corp . office of the chairman . peggy
leads energy operations for enron canada , with responsibility for risk
management , documentation and gas logistics . peggy also serves as a key
interface with canadian pipelines as a member of several industry
committees . brent is the senior business controller for gas trading
operations in the u . s . his responsibilities include risk management ,
confirmations , volume management and settlements for the east , west and
central regions . he also provides operational expertise in the due diligence
phase of the evaluations of joint ventures and acquisitions .",0
february & january 2000 industrial activities,"this means of communication is used because of trading hour .
fyi . . . only :
i have some links for february to true - up today and will finalize them by
the end of today .
i will review january industrial activity { alloc . , links / buybacks , ect . } by
the end of tomorrow , tuesday .
i will be taking vacation this friday , feb 11 th and monday , feb 14 th .",0
february issues,"i am currently going over the february setup in unify to locate current and
potential problems for the month . if you like , i would be glad to get
together tomorrow afternoon and review the problems just to give you an
overview on what i see .
let me know .
ken",0
february buyback deals,"just in case you want to have around . . . . . . . . . . . .
- - - - - - - - - - - - - - - - - - - - - - forwarded by kenneth seaman / hou / ect on 02 / 07 / 2000
10 : 16 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
kenneth seaman 02 / 07 / 2000 10 : 17 am
to : julie meyers / hou / ect @ ect , robert e lloyd / hou / ect @ ect
cc :
subject : february buyback deals
attached is my list for feb . please let me know if you see anything out of
the ordinary .
ken",0
hl & p flow month to date,attached are the month to date flow volumes .,0
tom o ' connor shut - in list,"the following meters were shut - in for approximately 12 hours beginning
approximately 3 : 00 am on sunday , feburary 6 due to high pressure on the tom
o ' connor system .
0989703 sarco creek
0984654 dennis o ' connor
0989708 c e swyka
0989751 allison
0984273 copano # 1
0984273 copano # 2
0984126 copano # 3
0984136 lake pasture
0986511 huff fld common point # 4
0989709 o ' connor bp central point
if you have any questions please feel free to call me at 36449 .
thanks
gary",0
woops . . . .,"on beaumont methanol , i made a mistake for the noms at the start of the month
. . . .
for feb 6 to 29 on ticket 93199 , i entered 18 , 500 / d . . . . and it should have
been 18 , 000 / d
please change the ticket . . .
thanks
lee",0
2000 goals & objectives,"- - - - - - - - - - - - - - - - - - - - - - forwarded by beth a ryan / hou / ect on 02 / 07 / 2000 03 : 38
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
brian redmond
02 / 07 / 2000 03 : 35 pm
to :
cc :
subject : 2000 goals & objectives
team :
the attached provides a summary of our goals & objectives for 2000 . we have
a number of challenges this year , but we making good progress building on our
success in 1999 .
the 2000 goals and objectives were developed as part of last year ' s budget
process and were refined during our recent offsite . a compilation of the
presentations from the offsite were distributed to each of the vp ' s for
discussion with their groups . it will take continued effort from each of us
to shift our source of earnings from monetizations to commercial
origination . as always , your ideas and active participation is encouraged .
regards ,
brian",0
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 02 / 07 / 2000,"04 : 48 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
royal _ b _ edmondson @ reliantenergy . com on 02 / 07 / 2000 04 : 45 : 52 pm
to : ami _ chokshi @ enron . com
cc :
subject :
( see attached file : egmnom - feb . xls )
- egmnom - feb . xls",0
hpl / eastrans nom - 2 / 8 / 00 ; hpl busby redelivery / sale - 2 / 8 / 00,"this is to nominate 32 , 000 mmbtu / d from hpl into eastrans for 2 / 8 / 00 .
we will continue to redeliver 25 , 000 mmbtu into pg
we will redeliver 7 , 000 mmbtu into hpl at the busby comp . station .
in addition , please continue our daily sale of 1 , 000 mmbtu / d for 2 / 8 / 00 . .",0
fortune most admired ranking,"congratulations ! for an unprecedented five years in a row , enron has been
ranked the "" most innovative company in america "" by fortune magazine . in
addition , for the first time , enron has also been ranked # 1 in "" quality of
management , "" topping general electric and omnicom group , and our "" employee
talent "" has been ranked # 2 , behind goldman sachs and ahead of cisco
systems . america ' s most admired management team is paired with the best and
brightest employee talent . that winning combination has led to enron ' s
five - year "" most innovative "" sweep . the "" most admired "" list will appear in
fortune ' s feb . 21 issue , available on newsstands feb . 8 .
you are the reason we have achieved such consistent recognition . you bring
the innovative ideas to enron and create new business opportunities . you
contribute to our quality management team . and you are the outstanding
employee talent that makes enron such an exciting and successful company .
keep up your outstanding work , and we look forward to even greater
achievements in 2000 !",0
8 th noms,"- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 02 / 07 / 2000
10 : 30 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
troy _ a _ benoit @ reliantenergy . com on 02 / 07 / 2000 10 : 19 : 10 am
to : "" ami chokshi ""
cc :
subject : 8 th noms
( see attached file : hpl - feb . xls )
- hpl - feb . xls",0
union gas - doehrman # 1,"tom ,
the doehrman # 1 well came on line for first delivery on monday , 2 / 7 / 00 at
11 : 45 am . the contract calls for intra - month pricing for deliveries that
commence after the first day of the month . please create a one month
baseload firm deal ticket for the remaining days of the month based on the
following information :
counterparty meter volume price
union gas operating company 9825 500 mmbtu / d 100 % gas daily less $ 0 . 10
susan will create a committed reserves firm ticket for the remaining term of
the deal once our geologists have gathered enough data to forecast the
reserves of this well ; at such time , we will request that this ticket be
zeroed out .
if you have any questions or concerns , please give me a call .
thanks ,
vlt
x 3 - 6353",0
mid - tex deals,"hey gang ,
i have created the new deals reflecting the mid - texas meters for the
following deals beginning in january 2000 :
etoco : from hpl meter 393 to mid - texas meter 9738
old sitara deal = 133435
new sitara deal = 163874
richardson : from hpl meter 7283 to mid - texas meter 9807
old sitara deal = 141691
new sitara deal = 164003
mueller : from hpl meter 7260 to mid - texas meter 9769
old sitara deal = 156247 feb . 2000 through june 2000
old sitara deal = 143885 jan . 2000 only
old sitara deal = 143887 jan . 2000 only
new sitara deal = 164172
please take a look at the deals and let me know if i have doubled volumes , or
if there is anything else i need to do to make things work better . . .
o ' neal 3 - 9686",0
9 th noms,"- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 02 / 08 / 2000
02 : 10 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
troy _ a _ benoit @ reliantenergy . com on 02 / 08 / 2000 12 : 23 : 23 pm
to : "" ami chokshi ""
cc :
subject : 9 th noms
( see attached file : egmnom - feb . xls )
- egmnom - feb . xls",0
"gary ,","could you please remove scada / mips from the following hpl meters . these
meters are where mid - texas interconnects with
pg & e ' s system , and there should not be any measurement taking place on hpl .
these meters were set up originally when we thought
that every meter on mid - texas should automatically have a corresponding meter
on hpl . this assumption is now incorecct .
980388
980389
980390
980391
980392
980393
987271
987260
987283
thanks
george",0
global data management - gas asset support,"in order to align the global data management responsibilities for contracts
and facilities with the overall operations support for brian redmond ' s asset
area , the global contracts and global facilities functions for assets have
been transferred to steve venturatos within brenda herod ' s gas assets
operations organization . all contract and facility requests for the enron
companies listed below should be directed to steve .
hpl companies
houston pipe line
mid texas pipeline
enron field services
hpl compression company
hpl resources
lrc companies
enron storage company
enron storage co . , llc
louisiana resources company
louisiana gas pipeline company limited partnership
louisiana resources pipeline company limited partnership
denver companies
fort union llc
enron midstream services powder river
lost creek
project hurricane
bridgeline holding l . p .
bridgeline gas distribution llc
bridgeline gas marketing llc
global requests for enron north america and offsystem pipelines will continue
to be handled in my area by connie sutton . responsibility for global
counterparty setups and updates remains centralized in my organization headed
by mary gosnell .
if i have missed someone in the distribution , please forward .",0
"re : accounting arrangements for 98 - 6725 , 98 - 6575 & 98 - 6014","anita ,
please be advised that 98 - 6725 has been placed on stranger ' s gas ( per daren
farmer ) until a price negotiation has been reached .
thanks
- jackie -
3 - 9497
anita luong
02 / 08 / 2000 12 : 07 pm
to : jackie young / hou / ect @ ect
cc :
subject : re : accounting arrangements for 98 - 6725 , 98 - 6575 & 98 - 6014
jackie . . . . . . . . . . . . see below for track id .
i don ' t see a deal for meter 6725 in path manager for days 1 - 20 thus i cannot
create accounting arrangement for these .
jackie young
02 / 07 / 2000 03 : 12 pm
to : anita luong / hou / ect @ ect
cc :
subject : accounting arrangements for 98 - 6725 , 98 - 6575 & 98 - 6014
hi anita ,
can you please set up an accounting arrangement for the above meters for
1 / 2000 production ?
98 - 6725 receipt meter 215 k
98 - 6575 receipt meter 96026573 k 75780
98 - 6014 receipt meter 96026573 k 75959
thanks
- jackie -
3 - 9497",0
fw : calpine daily gas nomination ( revised ),"> - - - - - original message - - - - -
> from : ricky archer
> sent : wednesday , february 09 , 2000 9 : 19 am
> to : ' rlloyd @ enron . com '
> cc : ' dfarmer @ enron . com ' ; ' jyoung @ enron . com '
> subject : calpine daily gas nomination
>
> >
- calpine daily gas nomination 1 . doc",0
987012,"daren , i just talked to mary and she said that they developed the meter
987341 for the meters that you had nominated under the 987012 . under
aggregate 7012 is 4045 ; 6026 ; 6114 ; 6427 ; 6848 ; 9755 ; these should all be
under the 987341 . do we need to renominate these meters or do i just move
them in pops . let me know daren i aim to please ( i think that ' s a southern
term ! ! )",0
sitara updates,"this is a note to update you guys on the progress i ' m making concerning
cleaning - up and combining well - head deals . . . so far , i have completed :
eog :
deal 126358 reflects 0 volumes on meter 6067 march 2000 forward
deal 126281 reflects volumes on meter 6296 as well as volumes moved from
sitara deal 126358 ; all volumes are at meter 6296
forest :
deal 132832 reflects 0 volumes march 2000 forward
deal 139397 reflects the combined volumes from both deals on meter 6396
suemaur :
deal 138658 reflects 0 volumes march 2000 forward
deal 138658 reflects the combined volumes from both deals on meter 9766
a similar effort will be made for : saxet ( deals 154608 / 138546 ) ; comstock
( deals 125827 / 125828 / 125899 ) ; and costilla ( deals 125783 / 125900 )
o ' neal 3 - 9686",0
out thurs & friday,"i will be out of the office on thursday and friday . my pager may not reach
me but i will be checking my voice mail .
please call george grant in my absence at ext . 36224 . thanks , pat
get with me today if you need anything by the end of the week .",0
re : union gas - doehrman # 1,the new sitara ticket # is 165331,0
transport p / l ( with fuel ) report,"fyi
- - - - - - - - - - - - - - - - - - - - - - forwarded by elsa villarreal / hou / ect on 02 / 09 / 2000
01 : 40 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
imelda frayre
02 / 04 / 2000 08 : 54 am
to : carrie hollomon / hou / ect @ ect , kimberly s olinger / hou / ect @ ect , bryce
baxter / hou / ect @ ect , gary nelson / hou / ect @ ect , randall l gay / hou / ect @ ect ,
george smith / hou / ect @ ect , theresa branney / hou / ect @ ect , maria
garza / hou / ect @ ect , chris germany / hou / ect @ ect , judy townsend / hou / ect @ ect , dan
junek / hou / ect @ ect , mark friedman / hou / ect @ ect , jeffrey c gossett / hou / ect @ ect ,
katherine l kelly / hou / ect @ ect , eric bass / hou / ect @ ect , elsa
villarreal / hou / ect @ ect
cc : scott mills / hou / ect @ ect
subject : transport p / l ( with fuel ) report
just wanted to inform all of you about the new report option that is now
available in cpr print manager . the new report includes the same information
that is found on the "" transport profit / loss "" report plus fuel detail
information that was not available on the original report . examples of the
additional fuel detailed information that can be found on the new report are
listed below :
fuel percent
fuel volume
fuel charge
the new report can be found in cpr print manager in the estimated economics
report category as illustrated below . if you have any questions regarding
this new "" transport p / l ( with fuel ) "" report , please call me at x 35423 .
imelda frayre",0
pathing procedures for buybacks,"to path a buyback { mop ; supply list } with an existing market deal
{ typically baseload } please follow these steps :
theory # 1 : example ; supply deal = 5 . 0 / d supply deal = 7 . 0 / d & market deal = 10 . 0 / d
1 ) follow steps 1 & 2 in theory # 1 .
2 . ) additionally , create a service transportation contract { i . e . k - 215 } in
the path list .
2 . ) path 7 . 0 on the "" buy / sell "" path list contract and 10 . 0 on the
transport { i . e . k - 215 } contract .
this procedure will eliminate an out - of - balance in mop for both the "" supply
deal and the market deal "" and send 3 . 0 to pop via x - port k - 215 .
note : never path a buyback { supply deal } using a receipt transport contact
and the { market deal } using a delivery transport contract .
pop ' s should only reflect the "" net "" on these two transactions { buyback
and baseload deal } .",0
"32 , 000 mmbtu nom remains in place ; 7 , 000 mmbtu from fuels cotton","valley , 25 , 000 mmbtu into valeroi
no nom change on purchase and sale - eastrans for 2 / 10 / 2000 - ( see reference ) .
reduce sale to 500 mmbtu / d from fuels cotton valley for 2 / 10 / 2000 .",0
wassup ! ! ! ! ! !,- wassup . avi,0
re : entex volumes,"- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 02 / 09 / 2000
01 : 29 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
charles _ w _ allmon @ reliantenergy . com on 02 / 09 / 2000 11 : 44 : 58 am
to : ami _ chokshi @ enron . com
cc : royal _ b _ edmondson @ reliantenergy . com , ghanks @ ect . enron . com
subject : re : entex volumes
ami ,
sorry that i haven ' t followed up yet , but we are in the middle of
implementing sap ( which i ' m sure
you have heard about ) , and haven ' t had time to put the sample report
together .
what i have at
present is a report from our scada system that must be run manually each day ,
to get a report of
yesterday ' s volumes , beginning and ending at 7 : 00 a . m . the problem is , until
i
can revise it , the
report shows all of our city gate volumes for all suppliers , and i need to
create a new one with only the
hpl stations . i also want to set it up for automatic creation , to run at
approx . 8 : 00 a . m . daily . it would
then be available to you for viewing via some type of bulletin board , such as
is
currently being operated
by george perrine . i will be coordinating this effort with george in that
regard . until i have completed the
entire task , however , i will try to send you a daily ( 5 days per week ) report
created manually , showing the
previous day ' s volumes for our monitored hpl stations . i am shooting for
starting this tomorrow .
i have also been discussing this with royal edmondson of our gas supply
dept . , and he wants us all
to meet to discuss coordinating our efforts and sharing all information
between
all interested parties . he
will be getting back with you on this .",0
change into midcon due to ppa,"- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 02 / 09 / 2000
10 : 49 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
troy _ a _ benoit @ reliantenergy . com on 02 / 09 / 2000 09 : 00 : 49 am
to : "" ami chokshi ""
cc :
subject : change into midcon due to ppa
( see attached file : hpl - feb . xls )
- hpl - feb . xls",0
mips january actuals,"fyi - not sure of the affect on p & l .
- - - - - - - - - - - - - - - - - - - - - - forwarded by brenda f herod / hou / ect on 02 / 10 / 2000
01 : 45 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
george grant
02 / 10 / 2000 01 : 23 pm
to : brenda f herod / hou / ect @ ect
cc :
subject : mips january actuals
fyi
- - - - - - - - - - - - - - - - - - - - - - forwarded by george grant / hou / ect on 02 / 10 / 2000 01 : 22
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
romeo d ' souza
02 / 10 / 2000 11 : 09 am
to : george grant / hou / ect @ ect
cc : dave nommensen / hou / ect @ ect , michael eiben / hou / ect @ ect
subject : mips january actuals
george ,
there seems to be a problem with mips while trying to actualize
the january 2000 data ( y 2 k related ) . in order to actualize jan
pops has to manually load the actual files into pops , the
side effect of this is that some of the feb data may be loaded
with numbers that are old . this will be rectified as we complete
loading the jan actuals and then load the most recent mips
measured prelim numbers for feb .
pops is currently processing the mips files in the order they
were received , we should be done with this today . please inform
us of any abnormalities that you see tommorrow .
thanks
romeo",0
sale to shoreline,"fyi
- - - - - - - - - - - - - - - - - - - - - - forwarded by stella l morris / hou / ect on 02 / 10 / 2000
02 : 25 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : sherlyn schumack 02 / 10 / 2000 02 : 21 pm
to : joanie h ngo / hou / ect @ ect , katherine herrera / corp / enron @ enron
cc : stella l morris / hou / ect @ ect
subject : sale to shoreline
joanie ,
logistics is waiting to hear from daren on this issue . he will either need
to extend the deal or maybe there should be another deal in place . this
deal 155118 is valid on 1 / 26 / 00 only , but the rest of the volume you are
looking for is scheduled on days 1 / 27 - 1 / 31 . i am sure there is no
pricing on those days .
i will let you know as soon as i hear from them .",0
nomination 2 - 11 - 2000 ; 2 - 9 and 2 - 10,"effective 2 - 11 ( friday ) our nom into eastrans will revert to 32 , 000 mmbtu / d
with 25 , 000 into pg & e and 7 , 000 from fuels cotton valley on purchase and
sale .
also , we will sell you 500 mmbtu / d from fcv .
on 2 - 10 - 2000 , we zeroed out the nom from hpl to eastrans due
to force majeure breakdown of compressor . we sold you
7 , 000 mmbtud at gas daily mid - $ . 05 and 500 mmbtud at inside
ferc monthly index - $ . 05 .",0
curtains,"hey ! the curtains look good - - i hope they do when they are hung - - lacy & i
are planning to come next friday the 18 th . when ya ' ll go to the rodeo . i ' m
taking a personal day from the bus and leaving early . thought i would bring
them . answer & let me know if that ' s ok . if you need them before then i ' ll
try to get them mailed . hope sweet cole is feeling better over his cold .
love you , mom
get your private , free email at http : / / www . hotmail . com",0
copano changes,"- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 02 / 10 / 2000
10 : 39 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
troy _ a _ benoit @ reliantenergy . com on 02 / 10 / 2000 10 : 23 : 49 am
to : "" ami chokshi ""
cc :
subject : copano changes
( see attached file : hpl - feb . xls )
- hpl - feb . xls",0
sale to shoreline,"charlotte , please get with daren .
thanks , stella
- - - - - - - - - - - - - - - - - - - - - - forwarded by stella l morris / hou / ect on 02 / 11 / 2000
04 : 24 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : stella l morris 02 / 10 / 2000 02 : 26 pm
to : daren j farmer / hou / ect @ ect
cc : charlotte hawkins / hou / ect @ ect
subject : sale to shoreline
fyi
- - - - - - - - - - - - - - - - - - - - - - forwarded by stella l morris / hou / ect on 02 / 10 / 2000
02 : 25 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : sherlyn schumack 02 / 10 / 2000 02 : 21 pm
to : joanie h ngo / hou / ect @ ect , katherine herrera / corp / enron @ enron
cc : stella l morris / hou / ect @ ect
subject : sale to shoreline
joanie ,
logistics is waiting to hear from daren on this issue . he will either need
to extend the deal or maybe there should be another deal in place . this
deal 155118 is valid on 1 / 26 / 00 only , but the rest of the volume you are
looking for is scheduled on days 1 / 27 - 1 / 31 . i am sure there is no
pricing on those days .
i will let you know as soon as i hear from them .",0
gathering contract volumes feb 00,"we have been looking at the daily volumes for the gathering contract to
analyze the producer services portion of the p & l . to do this , we have been
looking at daily volumes on the 96026572 contract . pops shows a daily bav of
approximately 612 , 000 . mops shows a daily bav of approximately 601 , 000 . i
wanted to confirm that these volumes sound reasonable for you . by the way ,
it also looks like the noms for the gathering contract are a lot higher ,
around 750 , 000 per day .
please advise as to how you feel these bav ' s come in compared to what you
expect . thank you .
heidi",0
clear lake methanol,"- - - - - - - - - - - - - - - - - - - - - - forwarded by gary w lamphier / hou / ect on 02 / 14 / 2000
09 : 43 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
groetzingerp @ valero . com on 02 / 11 / 2000 04 : 08 : 47 pm
to : gary w lamphier / hou / ect @ ect
cc :
subject : clear lake methanol
our people tell me that the t / a is going as planned and clmp plans to begin
start up on sunday . since it is a cold startup , it could take as long as a
week to get to full rates . in any event , clmp plans to begin pulling gas at
reduced rates late sunday or so .",0
alternative work schedule status,"as you might already know we had to reschedule our second meeting that was
scheduled for wednesday 2 / 16 to tuesday 2 / 22 in room 3013 . lunch will be
provided . i apologize and will avoid rescheduling our meetings in the future .
i was encouraged by the excellent dialogue and contribution at our first
meeting and believe we have the right group together to make the changes we
know are needed in our work hours .
here is the list of items we agreed to cover at the next meeting :
schedulers were going to touch base with their pipeline reps and other
contacts on the different schedules they are using and document and discuss
at the next meeting .
each manager was going to discuss with their group what would work best for
their desk and present this to the group at our next meeting
bob was going to gather information on external 12 hour schedules and follow
up with hr on schedules being used at enron
the following is what i heard at the first meeting :
our first item should be to establish a weekend and holiday schedule that
would more or less guarantee ( other than maybe an occasional call ) you have
the weekend off . cross - training seemed to be the key here . some desks seemed
to doubt this could be accomplished with current staffing levels .
cross - training is not an easy thing to accomplish and takes a "" just do it ""
attitude .
there doesn ' t have to be an across the board solution for logistics . however
all solutions we come up with will need to be formally documented so it will
be easy to move to other alternatives as the business needs of each desk
changes .
late daily hours are a reality and at some desks tied directly to traders
willingness to do deals at any time . as we get a better handle on what other
companies are doing we might be able to find something that will help address
this . everyone is realistic about the exceptions such as bid - week etc . and
really have no problems with those times when a long day is part of the job .
there were mixed reactions to a dedicated weekend team as opposed to some
type of rotating group . mixed feelings about whether the group would be open
to a mandatory rotating weekend schedule .
feel free to get back to me if you have any comments or clarification . i ' m
looking forward to our next meeting - bob",0
"lindholm oil , inc .","lindholm oil , inc . 6575 500 mmbtu / d 100 % gas daily less $ . 15
i will create a committed reserves ticket for the remaining term of the deal
once our geologists have gathered enough data to forecast the reserves of
this well , at such time , we will request that this ticket be zeroed out .
please supply the sitara number once entered . if you have any questions ,
please give me a call .
susan x 33321
- - - - - - - - - - - - - - - - - - - - - - forwarded by susan smith / hou / ect on 02 / 14 / 2000 03 : 25
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
vance l taylor
02 / 08 / 2000 09 : 31 am
to : tom acton / corp / enron @ enron
cc : bryan hull / hou / ect @ ect , daren j farmer / hou / ect @ ect , julie
meyers / hou / ect @ ect , susan smith / hou / ect @ ect , donald p reinhardt / hou / ect @ ect ,
melissa graves / hou / ect @ ect
subject : union gas - doehrman # 1
tom ,
the doehrman # 1 well came on line for first delivery on monday , 2 / 7 / 00 at
11 : 45 am . the contract calls for intra - month pricing for deliveries that
commence after the first day of the month . please create a one month
baseload firm deal ticket for the remaining days of the month based on the
following information :
counterparty meter volume price
union gas operating company 9825 500 mmbtu / d 100 % gas daily less $ 0 . 10
susan will create a committed reserves firm ticket for the remaining term of
the deal once our geologists have gathered enough data to forecast the
reserves of this well ; at such time , we will request that this ticket be
zeroed out .
if you have any questions or concerns , please give me a call .
thanks ,
vlt
x 3 - 6353",0
"meter 5961 , dunagan , j . a . # 1","daren :
i have been informed that this meter has been disconnected . the 215 has a
nom of 74 / day at this meter . the first day i have a - 0 - flow is 2 / 12 / 00 .
let me know if you have other information .
thanks !
charlotte",0
meter 9769 jan 00,"aimee / george :
per daren , we have a purchase deal at meter 9769 , but the allocation is
nomed on the pg & e contract . could you please verify with brian if this is
truely their gas or ours ? thanks
thu",0
